Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,8.0,74.0,8,0,0.0,1.0
Random,Random,10.24,62.0,10,12,0.24,1.12
Hierarchical,Hierarchical,13.72,74.0,[2 3 3 3],99,11.72,5.0
multidim-4,multidim-4,15.0,49.0,15,0,0.0,1.0
multidim-3,multidim-3,16.0,30.0,16,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,74.0,17,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,17.0,74.0,17,0,0.0,1.0
STD,STD,20.0,30.0,20,0,0.0,1.0
Matrix,Matrix,25.0,13.0,25,0,0.0,1.0
multidim-2,multidim-2,25.0,13.0,25,0,0.0,1.0
