Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,23.77,21.0,17,91,6.77,1.91
multidim-2,multidim-2,24.62,10.0,20,97,4.62,1.97
Matrix,Matrix,24.62,10.0,20,97,4.62,1.97
Hierarchical,Hierarchical,26.87,19.0,[5 3 3],100,21.87,4.0
multidim-3,multidim-3,41.43,24.0,14,99,27.43,1.99
STD,STD,49.0,14.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,31.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,47.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,100.0,47.0,7,100,93.0,2.0
multidim-4,multidim-4,106.0,36.0,13,100,93.0,2.0
