Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,25.44,28.0,18,88,7.44,1.88
multidim-2,multidim-2,27.65,11.0,22,98,5.65,1.98
Matrix,Matrix,27.65,11.0,22,98,5.65,1.98
Hierarchical,Hierarchical,28.36,19.0,[6 3 3],100,22.36,4.0
multidim-3,multidim-3,43.37,25.0,15,99,28.37,1.99
STD,STD,49.0,17.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,57.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,57.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,93.37,39.0,14,100,79.37,2.0
Binary,Binary,119.5,57.0,7,100,112.5,2.0
