Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,8.0,65.0,8,0,0.0,1.0
Random,Random,9.4,53.0,9,20,0.4,1.2
Hierarchical,Hierarchical,13.42,65.0,[2 3 3 3],99,11.42,5.0
multidim-4,multidim-4,14.0,45.0,14,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,16.0,33.0,16,0,0.0,1.0
multidim-3,multidim-3,16.0,30.0,16,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,65.0,17,0,0.0,1.0
STD,STD,20.0,26.0,20,0,0.0,1.0
Matrix,Matrix,23.0,12.0,23,0,0.0,1.0
multidim-2,multidim-2,23.0,12.0,23,0,0.0,1.0
