Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,6.0,27.0,6,0,0.0,1.0
Random,Random,7.43,24.0,5,87,2.43,1.87
Hierarchical,Hierarchical,10.84,27.0,[2 3 3],98,8.84,4.0
multidim-4,multidim-4,11.0,27.0,11,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,12.0,18.0,12,0,0.0,1.0
multidim-3,multidim-3,12.0,16.0,12,0,0.0,1.0
Matrix,Matrix,15.0,8.0,15,0,0.0,1.0
multidim-2,multidim-2,15.0,8.0,15,0,0.0,1.0
STD,STD,15.0,11.0,15,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,27.0,17,0,0.0,1.0
