Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,32.93,9.0,[11  3],100,21.93,3.0
multidim-2,multidim-2,50.55,10.0,20,100,30.55,2.0
Matrix,Matrix,50.55,10.0,20,100,30.55,2.0
STD,STD,55.0,9.0,55,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,89.0,20.0,89,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,49.0,100,0,0.0,1.0
Binary,Binary,105.0,49.0,7,100,98.0,2.0
multidim-4,multidim-4,111.0,36.0,13,100,98.0,2.0
multidim-3,multidim-3,112.0,25.0,14,100,98.0,2.0
Random,Random,115.0,19.0,17,100,98.0,2.0
