Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,5.0,9.0,5,0,0.0,1.0
Random,Random,5.44,9.0,3,89,2.44,1.89
Hierarchical,Hierarchical,7.68,9.0,[2 3],95,5.68,3.0
multidim-3,multidim-3,8.0,9.0,8,0,0.0,1.0
Matrix,Matrix,9.0,5.0,9,0,0.0,1.0
multidim-4,multidim-4,9.0,10.0,9,0,0.0,1.0
multidim-2,multidim-2,9.0,5.0,9,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,9.0,5.0,9,0,0.0,1.0
STD,STD,9.0,6.0,9,0,0.0,1.0
Chinese remainder,Chinese remainder,10.0,9.0,10,0,0.0,1.0
