Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,6.0,31.0,6,0,0.0,1.0
Random,Random,7.76,26.0,5,95,2.76,1.95
Hierarchical,Hierarchical,11.25,21.0,[3 3 3],98,8.25,4.0
multidim-3,multidim-3,12.0,16.0,12,0,0.0,1.0
multidim-4,multidim-4,12.0,27.0,12,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,14.0,31.0,14,0,0.0,1.0
STD,STD,15.0,13.0,15,0,0.0,1.0
Matrix,Matrix,16.0,8.0,16,0,0.0,1.0
multidim-2,multidim-2,16.0,8.0,16,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,31.0,17,0,0.0,1.0
