Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,7.0,61.0,7,0,0.0,1.0
Random,Random,9.44,52.0,9,21,0.44,1.21
Hierarchical,Hierarchical,13.23,61.0,[2 3 3 3],99,11.23,5.0
multidim-4,multidim-4,14.0,42.0,14,0,0.0,1.0
STD,STD,15.0,25.0,15,0,0.0,1.0
multidim-3,multidim-3,15.0,25.0,15,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,16.0,31.0,16,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,61.0,17,0,0.0,1.0
Matrix,Matrix,22.0,11.0,22,0,0.0,1.0
multidim-2,multidim-2,22.0,11.0,22,0,0.0,1.0
