Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,7.0,32.0,7,0,0.0,1.0
Random,Random,7.47,26.0,6,62,1.47,1.62
Hierarchical,Hierarchical,11.34,22.0,[3 3 3],98,8.34,4.0
multidim-3,multidim-3,12.0,16.0,12,0,0.0,1.0
multidim-4,multidim-4,12.0,27.0,12,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,14.0,32.0,14,0,0.0,1.0
STD,STD,15.0,13.0,15,0,0.0,1.0
Matrix,Matrix,16.0,8.0,16,0,0.0,1.0
multidim-2,multidim-2,16.0,8.0,16,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,32.0,17,0,0.0,1.0
