Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,8.0,72.0,8,0,0.0,1.0
Random,Random,10.22,60.0,10,11,0.22,1.11
Hierarchical,Hierarchical,13.65,72.0,[2 3 3 3],99,11.65,5.0
multidim-4,multidim-4,14.0,48.0,14,0,0.0,1.0
multidim-3,multidim-3,16.0,30.0,16,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,72.0,17,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,17.0,72.0,17,0,0.0,1.0
STD,STD,20.0,29.0,20,0,0.0,1.0
Matrix,Matrix,24.0,12.0,24,0,0.0,1.0
multidim-2,multidim-2,24.0,12.0,24,0,0.0,1.0
